v.id,years,km,rating,condition,economy,top speed,hp,torque,current price
606,6,122747,5,7,13,149,63,107,268314
607,2,55630,2,9,13,167,85,78,508432
608,5,103827,5,6,11,151,72,102,284462.5
609,2,88125,1,10,12,170,104,121,344539
610,5,90839,3,3,11,168,83,70,422417
611,3,81850,5,10,15,144,109,132,339335.5
612,7,50324,2,5,11,196,51,106,451290
613,2,114592,3,6,10,200,60,98,218908
614,5,52086,4,6,15,179,104,124,555336.5
615,7,124667,5,5,15,163,53,129,239018
616,2,111290,1,3,11,183,80,82,247277.5
617,2,70246,4,2,13,187,118,104,409312.5
618,6,54712,4,7,12,148,106,115,486308.5
619,6,133023,1,3,8,186,60,99,130112.5
620,6,104308,2,9,14,177,95,97,261732
621,5,91222,4,9,10,181,112,116,389099
622,4,63345,3,10,13,154,108,88,558355
623,6,100630,3,9,8,166,76,138,332478.5
624,3,88278,1,2,10,148,50,95,432159.5
625,3,55465,2,3,12,141,100,93,502519
626,7,65698,4,1,14,180,95,71,433504
627,2,59080,2,10,9,194,81,76,542371
628,5,101181,3,8,14,141,74,116,330887
629,5,124225,4,9,8,145,91,88,223369.5
630,5,91449,5,10,11,149,70,120,402812.5
631,7,110122,3,10,9,195,67,132,315925
632,2,56829,4,6,9,144,102,112,494345.5
633,3,76062,4,1,10,170,61,91,458537
634,6,77353,4,8,11,184,53,80,329639
635,3,140023,5,7,9,174,80,111,152125.5
636,7,90585,5,7,10,176,62,71,331263.5
637,7,97474,1,3,9,169,93,135,273728
638,7,78435,5,3,15,192,109,128,382794.5
639,7,128961,1,3,10,176,82,126,140884
640,4,114966,2,7,13,178,82,76,253530.5
641,2,59864,3,6,8,152,63,75,466371
642,3,145806,1,6,10,190,72,117,105427.5
643,3,77675,3,5,15,161,83,102,327454.5
644,2,132215,1,5,15,141,60,90,165595
645,4,142396,5,4,9,200,117,97,69231.5
646,5,91811,2,2,15,173,86,114,305652.5
647,2,114705,5,2,10,176,96,69,276960.5
648,7,93335,4,5,13,200,115,89,367122
649,2,105836,1,4,12,175,68,133,291776.5
650,7,100619,3,5,15,156,67,81,266983.5
651,2,113558,5,6,15,144,112,138,215633.5
652,3,144945,2,1,12,192,78,97,110229.5
653,2,98017,2,7,8,199,58,119,380231
654,6,117094,1,6,12,162,60,72,295021
655,3,64751,5,1,11,176,68,70,469084.5
656,4,52443,2,6,15,163,88,124,526502.5
657,3,113884,3,10,11,178,120,138,234835.5
658,3,148167,1,6,10,198,74,75,82848
659,6,113621,5,6,8,199,95,109,180368.5
660,6,106261,2,9,13,157,72,92,333278
661,3,116587,3,2,14,169,90,124,168854.5
662,4,118319,1,5,10,146,93,73,305463
663,3,89986,1,9,8,151,107,102,420083
664,4,63419,5,6,13,141,75,104,373735
665,3,95513,2,3,8,153,118,96,343416.5
666,3,130540,1,1,12,159,93,75,206999.5
667,2,133956,2,2,9,189,77,98,110359.5
668,7,89225,5,2,10,181,94,94,315866.5
669,2,88420,2,7,15,173,119,72,401011.5
670,2,98880,2,3,11,195,60,71,282496.5
671,4,131598,3,8,10,148,98,129,254581
672,3,65037,1,1,8,184,108,69,528770
673,2,118682,1,1,15,167,83,95,190949
674,7,63993,3,9,12,148,74,110,517366
675,4,60214,3,6,12,148,98,87,452633
676,6,69640,4,2,10,170,92,70,360647.5
677,2,142195,2,7,15,136,65,120,149899.5
678,5,132540,4,9,10,190,113,127,167998
679,2,108202,4,10,9,199,75,130,336038
680,5,107663,5,6,11,165,118,75,276430
681,6,133211,3,4,15,155,64,137,245854.5
682,4,136691,5,8,8,155,112,138,180476.5
683,6,52946,2,8,12,198,53,86,539377
684,5,134781,4,8,15,155,108,99,95533.5
685,5,116435,2,5,13,175,104,125,248738
686,3,77703,5,9,12,198,74,132,462499
687,5,149234,5,5,12,199,100,123,136824.5
688,4,119596,5,4,8,153,90,81,248248.5
689,2,56523,5,6,12,155,57,108,456154.5
690,3,136795,1,1,12,167,84,75,223778.5
691,4,115760,1,4,15,145,51,138,295553.5
692,7,126287,2,1,13,137,88,117,232192
693,4,52381,3,6,10,155,70,120,418504
694,6,147741,3,1,10,158,119,87,65467.5
695,7,63815,4,1,12,142,102,133,400444.5
696,3,60666,4,1,9,146,107,125,498712
697,7,121255,2,7,10,192,64,88,204833.5
698,4,106715,2,10,14,138,59,71,319728
699,3,136240,5,6,12,156,66,118,97526
700,4,99320,3,8,13,161,76,113,344405.5
701,4,116981,2,7,12,199,113,111,314149
702,7,78677,1,3,12,164,87,68,385031
703,3,82517,5,9,10,167,98,128,451307.5
704,4,116286,2,10,11,144,77,112,249603
705,2,88306,2,10,8,196,76,121,422439.5
706,5,92073,5,9,11,195,61,114,376375
707,4,95647,2,8,8,192,89,134,352345
708,4,106653,4,2,15,194,112,96,221692
709,4,82204,4,2,14,141,101,73,357823
710,7,103849,2,10,15,150,99,127,294502.5
711,6,100400,1,3,8,195,117,87,232826.5
712,2,103972,2,2,14,196,78,125,251317.5
713,7,72730,1,9,11,183,94,73,375370.5
714,5,147580,5,7,9,169,94,74,141833.5
715,5,141683,3,8,11,185,51,109,144124
716,2,94501,1,3,8,158,92,89,244287.5
717,7,131076,4,6,9,136,51,128,107147.5
718,6,111844,5,3,15,144,84,99,273707
719,2,101870,1,2,12,188,109,112,311973
720,7,55340,3,8,8,169,64,115,533610.5
721,2,115870,3,6,12,137,77,111,221132.5
722,5,63403,1,10,10,174,74,125,501920.5
723,6,96565,4,2,8,166,87,140,305002.5
724,5,58938,1,6,15,171,107,103,528607.5
725,6,96933,3,1,11,146,120,104,302423
726,6,70511,2,9,15,185,117,79,463054.5
727,4,141800,1,2,12,197,91,87,123719.5
728,5,147852,3,10,15,157,77,73,132159
729,5,117260,2,5,10,155,118,126,186308
730,4,56387,4,6,8,173,64,133,456827.5
731,2,87383,5,8,10,197,81,115,364155.5
732,6,139060,4,8,14,145,108,68,183465.5
733,2,66457,1,6,8,160,81,77,438032.5
734,7,102743,5,7,10,200,60,103,379566
735,4,131374,5,2,9,181,91,68,200794.5
736,6,122255,3,2,8,135,105,135,243549.5
737,4,116318,3,8,15,171,106,118,187050
738,6,57543,1,5,9,172,99,105,506854
739,5,98691,2,7,11,160,52,84,292520.5
740,5,120623,1,4,14,172,85,133,144272.5
741,6,123028,3,7,11,140,103,120,146223
742,5,55203,5,6,12,179,77,96,505336.5
743,5,74724,1,1,8,178,106,72,393104
744,2,110828,1,3,9,179,56,120,306982.5
745,2,54434,1,9,11,172,107,79,528634
746,2,102621,3,1,14,145,77,71,216302
747,6,126851,3,10,9,182,95,93,224359.5
748,2,90604,3,3,10,198,50,114,302011.5
749,2,137855,1,1,12,156,52,131,198892
750,7,66367,5,4,15,147,59,72,472972.5
751,4,78714,1,8,11,155,97,114,460019.5
752,2,58557,4,2,15,196,97,87,401500
753,5,94523,5,10,12,168,97,87,340777
754,3,53361,4,9,10,156,72,109,470373
755,2,121747,4,1,10,192,85,111,193067
756,3,90252,2,5,11,197,103,89,322951.5
757,2,64662,1,3,14,135,72,125,446875
758,3,96683,3,9,13,151,99,101,379991
759,2,113210,3,3,14,191,104,92,239815.5
760,7,56894,2,5,9,174,52,117,503648
761,5,130810,2,10,15,176,54,89,156513
762,4,112378,3,7,12,135,60,114,253387
763,6,74383,1,7,11,166,64,93,441561.5
764,2,57124,2,6,8,152,73,134,501083.5
765,5,95035,3,6,14,193,72,76,340720
766,7,86468,4,9,11,193,54,99,456554.5
767,5,147599,5,9,12,163,52,92,170104.5
768,4,73332,1,1,14,199,111,103,467074.5
769,6,72457,4,4,10,153,76,113,437540.5
770,4,86142,4,9,11,154,111,91,341076
771,3,87442,2,1,12,161,102,132,278759.5
772,2,74667,4,7,8,167,112,85,426796.5
773,7,112884,1,3,14,156,79,99,314523.5
774,5,74791,5,2,10,147,53,136,377706.5
775,7,64701,4,6,13,186,88,129,443735.5
776,3,133456,5,2,12,182,54,86,158250.5
777,6,77570,5,3,9,182,109,79,449650
778,5,138414,4,6,14,155,79,87,113700
779,3,94294,3,4,8,180,82,109,331687
780,6,92517,5,10,13,197,68,131,430469
781,5,149319,5,6,9,149,67,76,134035
782,6,130599,4,3,10,184,73,79,202702
783,5,143090,2,1,12,161,91,77,176858
784,6,129656,5,9,13,186,76,138,192576
785,4,97132,5,5,10,138,82,88,307770.5
786,6,140656,3,8,13,182,65,97,98254
787,3,123324,2,4,8,146,104,112,242950
788,6,147932,4,1,10,164,65,72,78924.5
789,5,107592,5,8,15,139,101,122,301042.5
790,5,129866,1,7,11,171,54,79,165741.5
791,6,110396,2,4,13,171,94,119,274172
792,3,117072,1,7,14,162,50,122,262126.5
793,4,52213,3,5,12,146,87,102,499121
794,6,66133,3,5,10,152,105,127,496514
795,2,62186,3,3,9,191,95,112,453672.5
796,4,130980,1,3,12,200,56,93,186388.5
797,7,89457,1,8,10,184,108,105,316652
798,6,80059,2,4,10,157,54,84,380289.5
799,6,147297,5,3,12,156,111,116,108921.5
800,3,96784,3,2,14,145,93,124,285487
801,3,140142,3,10,9,180,53,109,199798
802,6,148374,2,7,13,137,65,90,61928.5
803,5,58548,3,9,12,182,108,85,502708.5
804,6,141733,1,5,15,155,74,113,180891.5
805,6,69230,2,1,13,151,118,76,433615.5
806,7,148764,1,2,11,170,90,75,158741.5
807,3,63875,4,2,13,136,101,80,426479.5
808,4,139020,3,7,11,135,52,106,198503
809,5,143410,1,7,9,179,80,120,128632.5
810,6,142975,4,4,15,164,55,114,150234.5
811,6,125735,2,2,10,195,93,113,236994
812,4,95691,2,2,9,168,64,124,322368
813,3,85431,5,1,13,147,94,114,307993
814,4,73215,1,7,10,175,51,99,457463
815,5,138104,4,8,15,136,59,104,169784
816,5,129661,1,1,13,147,87,113,206883.5
817,2,90273,5,2,12,186,50,113,398513.5
818,7,120456,3,10,15,182,106,123,210777.5
819,3,97538,3,7,9,198,102,111,234142.5
820,6,67545,5,6,11,154,110,113,424290
821,5,133782,5,8,9,186,99,113,180912
822,7,145102,1,6,9,174,61,131,133006.5
823,4,80070,3,2,14,159,93,114,312164.5
824,3,139489,5,8,9,167,102,83,208573.5
825,3,88429,5,7,14,174,54,85,343595
826,6,147129,2,1,15,167,77,70,53470.5
827,7,139323,3,10,12,170,57,111,245810
828,7,74814,5,6,15,156,75,104,382241
829,3,132988,1,7,14,196,114,114,244640
830,3,63571,4,4,12,197,78,135,377507
831,6,82440,5,8,15,180,58,101,320603
832,3,88396,3,10,15,176,77,82,352318.5
833,4,87528,4,9,13,190,56,114,354900
834,5,125450,2,3,15,188,119,77,151836.5
835,3,68068,2,5,14,156,85,124,420102.5
836,3,116569,4,5,10,189,107,117,245594.5
837,3,74762,2,5,10,138,76,73,383875.5
838,3,87697,4,4,9,197,96,100,366732
839,2,87096,5,2,11,147,107,127,351201.5
840,3,100966,1,5,11,157,93,80,222063.5
841,7,130004,1,8,13,163,52,97,120869.5
842,6,149902,4,9,15,194,119,139,70862
843,2,120693,2,8,8,169,89,98,248983
844,6,89354,1,10,12,140,56,127,408452.5
845,7,131174,2,5,10,195,53,100,90220
846,5,116362,4,3,8,175,92,126,243565.5
847,3,148100,5,6,13,151,109,133,151080.5
848,5,68619,3,4,12,147,68,118,476969.5
849,6,55316,3,3,11,159,109,122,407127.5
850,4,74606,4,3,10,181,103,89,448905.5
851,7,109021,4,3,15,197,74,75,250309.5
852,3,87698,2,1,9,139,96,99,399672
853,4,71430,2,5,15,140,52,106,493806.5
854,2,56816,3,7,14,150,50,130,559108
855,5,55722,3,10,10,151,96,125,584267.5
856,2,148957,3,9,8,139,88,85,118348.5
857,7,128694,5,5,10,165,85,90,188582
858,6,137347,3,3,14,164,70,131,113942
859,3,110247,4,7,14,140,73,124,271010.5
860,2,73033,4,3,15,143,89,110,380928.5
861,2,136449,2,6,15,192,120,136,157874
862,5,129991,3,4,14,168,71,77,122139.5
863,4,107549,4,2,14,141,92,82,274650
864,2,71646,3,5,13,167,61,136,387089
865,6,144644,4,1,11,165,79,95,140796.5
866,4,115323,2,5,14,142,56,129,287093.5
867,7,118659,2,7,12,180,66,120,239214
868,4,143238,1,9,10,194,78,116,164649.5
869,7,144691,3,4,13,144,89,69,46920.5
870,5,135572,3,2,8,164,99,124,93190.5
871,7,121114,2,5,15,161,95,75,253867
872,4,88153,3,1,9,152,115,135,399055.5
873,7,142959,2,4,9,198,116,99,179077
874,2,121615,4,1,10,163,52,75,205716.5
875,5,119377,1,5,15,141,86,82,212546.5
876,6,120786,4,8,10,159,103,121,213739
877,5,114604,4,4,13,185,94,70,283435.5
878,2,95757,3,2,10,137,54,98,340429.5
879,6,62638,2,6,11,150,53,97,445538
880,3,103310,3,2,11,193,111,105,261568
881,7,69950,1,7,12,170,111,105,425777.5
882,5,97874,5,4,15,142,83,86,329538.5
883,4,106607,2,10,9,155,65,91,265955
884,3,116349,2,1,11,170,101,129,239923
885,2,133005,3,9,10,189,83,100,153381.5
886,3,83938,5,4,12,136,56,115,377575
887,4,102557,3,6,13,192,63,101,297625
888,2,134678,5,1,15,191,85,88,110883.5
889,3,104178,2,2,14,156,94,86,313879
890,3,137631,2,5,14,176,81,87,115462.5
891,6,70261,5,7,14,188,99,119,427590
892,6,146627,2,3,12,149,61,90,93713
893,7,113074,4,7,10,168,119,68,230080
894,5,84662,4,2,13,146,52,113,396244
895,2,115241,4,8,15,197,101,114,334502
896,3,62161,1,2,8,170,120,94,363186.5
897,6,89279,2,7,8,153,78,140,428955.5
898,3,138715,1,6,14,159,101,101,110021.5
899,7,77270,2,4,12,145,77,131,315959
900,4,120970,1,4,13,151,118,107,218983.5
901,7,136786,5,5,9,174,68,135,191566
902,5,66460,3,5,11,153,65,93,488457
903,4,113901,2,1,12,139,92,68,272816.5
904,5,145711,3,8,9,194,58,95,170960.5
905,6,122209,4,7,14,167,117,136,197714.5
906,2,101958,2,7,8,135,58,84,294378.5
907,2,124475,2,8,13,187,98,121,265194
908,3,98190,2,10,15,166,112,75,413540
909,5,68811,5,2,12,152,63,93,390756.5
910,7,76860,2,9,13,139,93,86,467395
911,7,58644,3,5,10,170,107,80,473834
912,4,113637,2,6,14,162,118,87,228875.5
913,6,104427,4,5,13,159,57,125,362434.5
914,3,134769,3,1,11,145,101,86,187305
915,5,71488,1,3,9,135,60,84,360675
916,4,99211,5,5,11,195,74,105,369149
917,4,106209,3,1,12,184,89,108,295406.5
918,2,77046,1,7,8,183,57,84,422497
919,2,93280,3,2,14,145,51,78,354722
920,5,97557,3,3,12,194,67,81,223594.5
921,4,123788,3,10,8,136,67,105,246460
922,3,70888,3,5,15,189,89,109,423584
923,7,142292,4,1,12,135,75,109,129863
924,7,133251,4,3,13,199,102,109,74863
925,5,53174,2,4,13,138,117,135,461900.5
926,2,92717,4,9,12,192,76,73,280123
927,2,89687,1,3,14,184,73,136,312469
928,6,108315,3,3,15,165,120,93,229749.5
929,2,80464,3,3,14,200,70,110,366878.5
930,3,113292,2,5,8,147,118,140,260231
931,5,118481,3,10,9,186,80,81,262090
932,6,139591,3,3,14,194,119,82,77277
933,3,108126,2,10,10,167,88,76,279833.5
934,5,147994,4,10,10,146,114,125,125721.5
935,6,148838,4,8,14,149,100,140,158511
936,6,71556,4,8,13,160,98,82,447337
937,3,121892,2,8,11,174,52,133,304354
938,2,87199,1,7,8,149,78,121,375097.5
939,7,53231,4,9,9,177,62,85,559074
940,5,91444,4,7,11,153,66,114,353237
941,3,62177,2,6,12,160,70,132,494575.5
942,6,149285,5,6,11,147,93,75,137169.5
943,5,136865,5,1,14,193,117,103,150074
944,4,85600,1,4,14,181,89,68,388209.5
945,6,59148,2,10,13,184,107,107,547069
946,3,101657,3,4,12,178,71,124,242709.5
947,4,60917,1,6,10,151,100,69,401745
948,6,60160,3,1,10,161,88,94,475984.5
949,2,100091,3,5,13,199,50,127,282418.5
950,2,102791,1,5,13,149,65,100,304445
951,7,87618,5,5,11,161,82,139,315131.5
952,7,104079,4,6,13,138,64,121,188186
953,4,56991,1,8,14,151,66,97,469956
954,6,65811,5,10,12,153,67,78,434336.5
955,4,105905,3,1,13,160,52,130,179711.5
956,7,84284,3,6,11,141,105,74,386141
957,4,144875,2,4,8,182,66,102,55925
958,2,120128,3,10,15,152,71,71,233987
959,3,109797,4,9,9,146,64,101,356189
960,4,115304,4,6,11,173,89,113,202883.5
961,6,97044,3,9,11,177,83,81,314576.5
962,5,52974,1,7,12,185,82,74,412014.5
963,4,86488,1,2,12,160,105,122,420631
964,5,62918,4,6,10,174,112,132,426760
965,3,143076,5,9,14,169,52,125,198511.5
966,6,119356,2,7,13,194,59,107,303419
967,2,96472,4,4,13,147,71,80,301081.5
968,4,106613,2,1,10,174,114,120,233139
969,6,70087,3,10,11,141,106,136,418934
970,7,84252,2,6,13,164,95,70,313619.5
971,7,121144,1,6,8,153,118,117,272075
972,6,108644,2,2,9,155,67,136,283248
973,6,126380,3,1,9,145,102,111,172859.5
974,7,70964,2,10,14,195,57,78,513722.5
975,4,126360,1,6,14,163,88,87,172415
976,3,92369,5,4,14,176,70,138,324899.5
977,5,146214,2,2,14,155,91,94,184900.5
978,7,61101,4,4,14,158,119,111,458591.5
979,4,76283,3,9,12,198,71,72,420403
980,7,115176,5,2,11,152,71,95,252549.5
981,7,145395,3,9,14,188,52,100,87234.5
982,2,101069,1,10,13,155,77,124,341328
983,4,53309,5,8,11,160,50,113,515722.5
984,7,92567,3,8,12,191,83,101,313049.5
985,3,126940,1,10,15,194,73,135,181428.5
986,4,98173,2,8,12,184,77,122,302878.5
987,7,126075,2,9,14,147,102,137,209639
988,2,89738,1,9,15,187,81,114,311109
989,3,65422,5,4,10,155,112,111,390915.5
990,4,74895,5,8,15,148,87,117,441104
991,7,59097,4,1,13,168,89,127,418871.5
992,2,144322,3,6,13,180,54,70,145880.5
993,4,148138,5,9,10,179,95,81,172234.5
994,2,92988,2,1,12,170,99,98,307255
995,5,149729,3,6,10,154,77,122,98311.5
996,5,125092,1,6,11,171,95,97,190744
997,4,83370,2,9,14,161,101,120,419748
998,7,86722,1,8,9,196,113,89,405871
999,2,140478,4,5,9,184,112,128,74398
1000,5,67295,4,2,8,199,99,96,414938.5
